Book_description,Category,book name,image_url,Author,Description,Percentage of votes,Total Votes,Votes
https://www.goodreads.com/choiceawards/best-mystery-thriller-books-2017,Mystery & Thriller,Into the Water,https://images.gr-assets.com/books/1494055413l/33151805.jpg,Paula Hawkins,"She’s done it again! Two years after winning the Best Mystery & Thriller award for her juggernaut debut, The Girl on the Train, Paula Hawkins takes home the same prize for her second novel, Into the Water. The gripping tale of psychological suspense sweeps readers away to a small town where one woman’s death dredges up a dark history of secrets, scandals, and murder.",17.96420340093755,268573.0,48247.0
https://www.goodreads.com/choiceawards/best-historical-fiction-books-2017,Historical Fiction,Before We Were Yours,https://images.gr-assets.com/books/1498910914l/32148570.jpg,Lisa Wingate,"The Goodreads Choice Award winner for Best Historical Fiction tells a riveting story about family, injustice, and the power of redemption. Here, author Lisa Wingate masterfully draws her inspiration from the real-life scandal of a Memphis-based adoption agency that stole and sold children to wealthy families. With 30 novels under her belt, this latest New York Times and USA Today bestselling novel is the first win for Wingate in the Goodreads Choice Awards.",13.05636270878158,225415.0,29431.0
https://www.goodreads.com/choiceawards/best-fantasy-books-2017,Fantasy,Fantastic Beasts and Where to Find Them: The Original Screenplay,https://images.gr-assets.com/books/1481542648l/29363501.jpg,J.K. Rowling,"Never underestimate the power of the wizarding world fan base. Beating out previous Goodreads Choice Award winners Neil Gaiman and Brandon Sanderson, J.K. Rowling wins Best Fantasy with her screenwriting debut, which follows magiczoologist Newt Scamander as he loses more than one of his mischievous, magical creatures in 1920s-era New York City.",26.472917077577012,349833.0,92611.0
https://www.goodreads.com/choiceawards/best-romance-books-2017,,Without Merit,https://images.gr-assets.com/books/1506854772l/34684620.jpg,Colleen Hoover,"All hail our queen of contemporary love stories. For the third consecutive year, Colleen Hoover is a Goodreads Choice Award winner for Best Romance. This year she put readers under her spell with Without Merit. Grappling with guilt, family drama, and a growing web of lies, the novel’s unforgettable heroine risks losing the man she loves after revealing a devastating secret.",15.421445859202358,209066.0,32241.0
https://www.goodreads.com/choiceawards/best-science-fiction-books-2017,,Artemis,https://images.gr-assets.com/books/1494273579l/34928122.jpg,Andy Weir,"Readers clearly love Andy Weir to the moon and back. After winning Best Science Fiction in the 2014 Goodreads Choice Awards for his thrilling debut, The Martian, he receives the same honor for his second book. Part space adventure, part exhilarating heist tale, Artemis follows young smuggler Jazz Bashara as she lands in the middle of conspiracy on the first and only city on the moon.",19.413318392828558,174916.0,33957.0
https://www.goodreads.com/choiceawards/best-horror-books-2017,,Sleeping Beauties,https://images.gr-assets.com/books/1510335748l/34466922.jpg,Stephen King,"Over the years, Stephen King has won his share of Goodreads Choice Awards, but this is the first win for his son Owen. The father-and-son duo squashed the competition with their first cowritten novel, Sleeping Beauties, a nightmarish account of what happens when all the women in the world go to sleep and become enmeshed in a coma-inducing, cocoon-like gauze.",32.30135742555898,156399.0,50519.0
https://www.goodreads.com/choiceawards/best-humor-books-2017,,"Talking as Fast as I Can: From Gilmore Girls to Gilmore Girls, and Everything in Between",https://images.gr-assets.com/books/1492797634l/30253864.jpg,Lauren Graham,"Talking as Fast as I Can: From Gilmore Girls to Gilmore Girls (and Everything in Between) by actress Lauren Graham is a collection of witty essays about starting out in Hollywood. It's also a love letter to what Graham calls the ""role of a lifetime,"" playing Lorelai Gilmore—first on television's Gilmore Girls and nine years later on the Netflix miniseries Gilmore Girls: A Year in the Life.",27.006667827591436,178019.0,48077.0
https://www.goodreads.com/choiceawards/best-nonfiction-books-2017,,How to Be a Bawse: A Guide to Conquering Life,https://images.gr-assets.com/books/1475608021l/31202835.jpg,Lilly Singh,"YouTube star and comedian Lilly Singh is better known by her username, ||Superwoman||. She has more than 12.7 million YouTube subscribers and 7 million Instagram followers. Singh wins the Goodreads Choice Award for Best Nonfiction for her debut book, How to Be a Bawse: A Guide to Conquering Life, where she shares the secrets to her stunning success.",14.665631974261082,176542.0,25891.0
https://www.goodreads.com/choiceawards/best-memoir-autobiography-books-2017,,What Happened,https://images.gr-assets.com/books/1503366034l/34138013.jpg,Hillary Rodham Clinton,"Hillary Clinton was nominated for a Goodreads Choice Award for her memoir Hard Choices in 2014, but this year’s win for What Happened is her first. Goodreads members cast their vote for the autobiography, which chronicles her run, and ultimate loss, as the first woman in U.S. history to be nominated for president by a major political party.",19.807101191660305,155833.0,30866.0
https://www.goodreads.com/choiceawards/best-history-biography-books-2017,,The Radium Girls: The Dark Story of America's Shining Women,https://images.gr-assets.com/books/1496007867l/31409135.jpg,Kate Moore,"Taking place under the shadow of the first World War, bestselling author Kate Moore’s The Radium Girls traces the lives of the hundreds of young women who toiled and suffered amid the radium-dial factories. What follows is a true story of awe-inspiring strength in the face of scandal and gruesome corruption. This is Moore’s first nomination in the Goodreads Choice Awards and her first win in the Best History & Biography category.",17.449304034480324,141530.0,24696.0
https://www.goodreads.com/choiceawards/best-science-technology-books-2017,,Astrophysics for People in a Hurry,https://images.gr-assets.com/books/1527255595l/32191710.jpg,Neil deGrasse Tyson,"Beloved astrophysicist Neil deGrasse Tyson has received many distinguished accolades throughout his career. This year Tyson’s New York Times bestseller Astrophysics for People in a Hurry was a shining star in the Goodreads Choice Awards, capturing a win in the Science & Technology category. His passion for the cosmos, combined with his down-to-earth wit, expertly guides casual readers into the great beyond in the shortest amount of time.",34.70885971770709,121505.0,42173.0
https://www.goodreads.com/choiceawards/best-food-cookbooks-2017,,"The Pioneer Woman Cooks: Come and Get It! Simple, Scrumptious Recipes for Crazy Busy Lives",https://images.gr-assets.com/books/1496928385l/34016988.jpg,Ree Drummond,"Two-time Goodreads Choice Award winner Ree Drummond is back with a third Food & Cookbook win with her latest recipe book made for people who love to whip up hearty, satisfying fare but don’t have a lot of time to devote to the kitchen.",18.86187298068533,127209.0,23994.0
https://www.goodreads.com/choiceawards/best-graphic-novels-comics-2017,,"Big Mushy Happy Lump (Sarah's Scribbles, #2)",https://images.gr-assets.com/books/1490071048l/30754980.jpg,Sarah Andersen,"Sarah Andersen won Best Graphic Novel & Comic for her 2016 debut, Adulthood Is a Myth, and now the book’s follow-up, Big Mushy Happy Lump, is also a winner. Featuring new content from her Sarah Scribbles webcomic, the collection includes illustrated personal essays about Andersen’s real-life experiences with anxiety, work, and relationships.",15.893854082168248,167656.0,26647.0
https://www.goodreads.com/choiceawards/best-poetry-books-2017,,The Sun and Her Flowers,https://images.gr-assets.com/books/1499791446l/35606560.jpg,Rupi Kaur,"Rupi Kaur, the 25-year-old publishing phenomenon, is perhaps the best known of the new breed of poets dubbed “instapoets.” She has 1.8 million followers on Instagram, where she shares her verses. Her first book, Milk and Honey, began as a self-published book that went on to sell 2.5 million copies. She wins the 2017 Goodreads Choice Award for Best Poetry for her second collection, The Sun and Her Flowers.",30.37305594144953,118052.0,35856.0
https://www.goodreads.com/choiceawards/best-debut-goodreads-author-2017,,The Hate U Give,https://images.gr-assets.com/books/1535002553l/32075671.jpg,Angie Thomas,"2017 was the year of Angie Thomas. Not only did she scoop up two Goodreads Choice Awards, but her book The Hate U Give was optioned for a film and has spent nearly a year on the New York Times bestseller list. The novel follows Starr Carter, a 16-year-old who finds her voice after her unarmed childhood best friend is fatally shot by the police. A timely and heartbreaking read.",34.377308452894944,217949.0,74925.0
https://www.goodreads.com/choiceawards/best-young-adult-fiction-books-2017,,The Hate U Give,https://images.gr-assets.com/books/1535002553l/32075671.jpg,Angie Thomas,"2017 was the year of Angie Thomas. Not only did she scoop up two Goodreads Choice Awards, but her book The Hate U Give was optioned for a film and has spent nearly a year on the New York Times bestseller list. The novel follows Starr Carter, a 16-year-old who finds her voice after her unarmed childhood best friend is fatally shot by the police. A timely and heartbreaking read.",23.200772697000733,256763.0,59571.0
https://www.goodreads.com/choiceawards/best-young-adult-fantasy-books-2017,,"A Court of Wings and Ruin (A Court of Thorns and Roses, #3)",https://images.gr-assets.com/books/1546407040l/23766634.jpg,Sarah J. Maas,"Sarah J. Maas returns as the reigning champion of YA fantasy. She has been a nominee in this category since 2012, and it’s no surprise that Maas has garnered another win for A Court of Wings and Ruin. This is the third installment of her smash hit series about a young huntress embroiled in the mysterious world of the fae. The second installment, A Court of Mist and Fury, was also a winner in last year’s Goodreads Choice Awards.",24.608474042926947,289189.0,71165.0
https://www.goodreads.com/choiceawards/best-childrens-books-2017,,"The Ship of the Dead (Magnus Chase and the Gods of Asgard, #3)",https://images.gr-assets.com/books/1493178281l/28006120.jpg,Rick Riordan,"A titan in the Middle Grade & Children’s category, Rick Riordan claims another victory for The Ship of the Dead. No stranger to mythological reimaginings, Riordan continues the story of a once-homeless teen and his epic transformation into one of Odin’s chosen warriors. This is the second time this series has been nominated, and it marks the seventh consecutive Goodreads Choice Award win for Riordan.",22.32094933229864,154635.0,34516.0
https://www.goodreads.com/choiceawards/best-picture-books-2017,,We're All Wonders,https://images.gr-assets.com/books/1489819210l/32777609.jpg,R.J. Palacio,"Inspired by her middle-grade book Wonder, R. J. Palacio set out to write—and illustrate—a picture book with the same “choose kind” message. In We’re All Wonders, we follow Auggie on an out-of-this-world adventure that ultimately encourages even the youngest of readers to see beyond his extraordinary exterior and into the person he is inside.",19.17396039836704,127621.0,24470.0
